Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airstrip,Dobiesławice,Dobiesławice,50.22442,20.574028,592.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Dylew,Dylew,51.716,20.77161,452.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Działyń,Działyń,52.603832,17.476946,367.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Gniewskie Pole,Gniewskie Pole,53.790806,18.862583,36.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,FlyTeam Góra,FlyTeam Góra,51.689583,16.498278,346.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Górki,Górki,50.37258,21.289694,515.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Kaczowice,Kaczowice,50.690945,17.10989,940.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Kamionka-Nowe,Kamionka-Nowe,53.67653,18.631334,294.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Karczew,Karczew,52.080414,21.227446,290.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Kazimierza Mała,Kazimierza Mała,50.260807,20.540693,615.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Kleszczewo,Kleszczewo,54.20992,18.524721,420.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Kluczewo,Kluczewo,53.28014,14.96725,76.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Kolonia,Kolonia,53.576,21.272972,460.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Kolonia Słoja,Kolonia Słoja,53.33289,23.617584,670.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Konary,Konary,52.287415,20.277416,225.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Krąplewice,Krąplewice,53.512974,18.425,280.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Księginki,Księginki,51.956444,17.07575,334.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Kutno,Kutno,52.208584,19.390667,318.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Lasocin,Lasocin,51.734417,15.680695,303.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Łąkta Górna,Łąkta Górna,49.83325,20.410915,1031.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Łomnica,Łomnica,51.819805,21.861305,550.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Łomża m. Mostami,Łomża m. Mostami,53.17917,22.093918,300.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Łosice,Łosice,52.23836,22.711237,510.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Łuków-Gręzówka,Łuków-Gręzówka,51.993916,22.322363,550.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Majdan Nowy 2,Majdan Nowy 2,50.461666,22.763945,700.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Międzyrzec Podlaski,Międzyrzec Podlaski,52.017498,22.734278,500.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Nadma,Nadma,52.363747,21.171917,270.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Nadolna,Nadolna,51.913334,19.85625,611.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Niegowoniczki,Niegowoniczki,50.372944,19.420568,1043.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Nowęcin,Nowęcin,54.746613,17.601736,10.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Nowy Tomyśl,Nowy Tomyśl,52.307636,16.145597,185.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Olszanka,Olszanka,52.149475,22.668638,530.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Osieczany,Osieczany,49.84886,19.987556,884.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Osieczna,Osieczna,51.91589,16.708584,316.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Ożarów,Ożarów,50.902195,21.657,592.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Pacółtowo,Pacółtowo,53.530945,20.153694,645.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Pisarzowice,Pisarzowice,51.149002,15.233528,885.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Podborze,Podborze,50.24372,21.314304,580.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Wąsewo,Wąsewo,52.851345,21.728764,387.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Jeziorko Łomża,Jeziorko Łomża,53.215446,22.147152,475.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Nowy Bostów,Nowy Bostów,50.92542,21.085682,1000.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Wola Krakowiańska 1,Wola Krakowiańska 1,52.026943,20.807499,446.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Nikutowo,Nikutowo,53.83861,21.297222,495.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Ponurzyca,Ponurzyca,52.024166,21.411943,443.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Słomczyn,Słomczyn,51.87583,20.934166,417.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Wolica Ługowa,Wolica Ługowa,50.09778,21.725834,725.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Wiśniew,Wiśniew,52.080555,22.264166,492.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Dmosin,Dmosin,51.938057,19.77861,492.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Karlino,Karlino,54.06472,15.8127775,112.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Kiełczynek,Kiełczynek,52.067497,17.225279,210.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Ldzań,Ldzań,51.58972,19.254723,600.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Lipowa,Lipowa,49.697224,19.098333,1447.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Makosieje Ełk,Makosieje Ełk,53.80722,22.541111,400.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Nysa Głębinów,Nysa Głębinów,50.47111,17.266945,710.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Pawłowiczki,Pawłowiczki,50.244724,18.023611,818.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Piotrków Kujawski - Nowacki,Piotrków Kujawski - Nowacki,52.554443,18.5175,292.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Poręba,Poręba,50.487778,19.376667,1089.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Przytuły,Przytuły,53.117496,21.716667,330.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Robakowo,Robakowo,53.354443,18.667221,274.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Rysie,Rysie,52.22028,21.473612,442.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Ręczaje,Ręczaje,52.319443,21.324722,310.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Skierniewice-Psary,Skierniewice-Psary,51.885834,20.325,485.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Stary Kraszew,Stary Kraszew,52.412224,21.249445,282.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Strzelce Małe-Szczurowa,Strzelce Małe-Szczurowa,50.11889,20.6025,581.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Stróże,Stróże,49.67972,20.9725,1300.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Szorce,Szorce,53.28528,22.67389,361.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Truskolasy,Truskolasy,50.872776,18.848612,981.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Trójca,Trójca,51.153057,15.098333,705.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Walendów Agro,Walendów Agro,52.080555,20.853056,343.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Wałyczyk-Wąbrzeźno,Wałyczyk-Wąbrzeźno,53.24389,18.98639,292.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Wilków Średzki,Wilków Średzki,51.064445,16.69972,482.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Wisznice,Wisznice,51.77861,23.166666,509.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Witków,Witków,50.795834,16.115278,1644.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Witnica,Witnica,52.673058,14.868889,63.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Wola Korytnicka - Węgrów,Wola Korytnicka - Węgrów,52.412502,21.82139,450.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Wola Krakowiańska 2,Wola Krakowiańska 2,52.026943,20.81111,,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Wysoka,Wysoka,52.76278,15.004444,250.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Żodyń,Żodyń,52.116108,15.976944,181.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Żytniów,Żytniów,51.02611,18.554167,689.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Nieborów 2,Nieborów 2,52.07,20.060555,286.0,,,,EP,,,skydemon_PL_missing.airfields.xml
Airstrip,Podegrodzie,Podegrodzie,49.56808,20.58914,1010.0,,,,EP,,,skydemon_PL_missing.airfields.xml
